feature,BuiltIn,Permutation,Pearson,Ensemble,rank
vth,0.9999999996466689,0.9999999996764535,0.9187807733226695,0.9729269242152639,1
critical_dimension,0.8002013660342872,0.769494160876545,0.6297116447348596,0.7331357238818973,2
cd_vth_product,0.21837254958468766,0.08263406149126752,0.9999999997345101,0.43366887027015516,3
defect_count,0.24099515423771406,0.16872487303093492,0.8212378515690318,0.41031929294589364,4
thickness_uniformity,0.21209973236919752,0.13526848390536897,0.8659458592382221,0.40443802517092947,5
uniformity_x_defect,0.1229292174321744,0.07172692615556897,0.8511894106867727,0.348615184758172,6
defect_composite,0.11704939554979865,0.06826371195575659,0.846956927065585,0.3440900115237134,7
leakage_current,0.022861068675426602,0.016202538131997887,0.3895678554773285,0.14287715409491766,8
etch_rate,0.061093530917883845,0.049749791964247524,0.2784197553664207,0.12975435941618405,9
oxide_thickness,0.10093430872956935,0.08382625470683246,0.1973089557636872,0.12735650640002968,10
deposition_rate,0.008192698369168614,0.00759286825929501,0.2704056575940295,0.09539707474083105,11
focus_offset,0.0218681048368305,0.013868608562761151,0.23800571575909552,0.09124747638622906,12
implant_energy,0.04669126659723932,0.034198675016060984,0.16179289263566302,0.08089427808298777,13
dose,0.040078233396618396,0.027266071241589973,0.08073644482164126,0.049360249819949874,14
pressure,0.01881548937924794,0.01231701572557219,0.07662346358482611,0.03591865622988208,15
tilt_angle,0.01212511649832277,0.005064284197369375,0.07675608565645971,0.03131516211738395,16
temperature,0.0,0.0,0.08774496819657274,0.029248322732190912,17
exposure_time,0.01035294009853784,0.007250857534140003,0.06221000866707324,0.026604602099917028,18
resistivity,0.0006118963009043663,0.001284841340262469,0.057446423058713086,0.01978105356662664,19
resistance,0.006088947356847964,0.004488988174699171,0.0,0.003525978510515712,20
