iter	RMSE
0	0.1746863109
1	0.1737221946
2	0.1726685246
3	0.171731262
4	0.1707744118
5	0.1699602483
6	0.1689539161
7	0.1681216578
8	0.1678020602
9	0.1669061501
10	0.1659981702
11	0.1651511926
12	0.1642238535
13	0.1633453394114	0.162579885
15	0.1617461722
16	0.1609003576
17	0.1599858062
18	0.1588422103
19	0.1580519055
20	0.1573222608
21	0.1566199818
22	0.1558223013
23	0.1550343432
24	0.1542968774
25	0.1535844669
26	0.1529231449
27	0.1522626994
28	0.1515248445
29	0.1508525981
30	0.1501846637331	0.1494696486332	0.1488523526333	0.1481979089334	0.1475286221
35	0.1469613689
36	0.146356073
37	0.1457412919
38	0.1451687531
39	0.144571606
40	0.1439502023
41	0.1433259316
42	0.1427376872
43	0.1421602478
44	0.1416341944
45	0.1410965643
46	0.1404473388
47	0.1398725843
48	0.1393968536
49	0.1389172672
50	0.1384269676
51	0.1378484072
52	0.1373558419
53	0.1368587113
54	0.136292807
55	0.1358651875
56	0.1354103547
57	0.1349040537
58	0.1345092253
59	0.1340484909
60	0.1335273181
61	0.1330883462
62	0.1325867006
63	0.1321769
64	0.1317421501
65	0.1312845883
66	0.1308583419
67	0.130432595
68	0.1300455766
69	0.1295798175
70	0.1291870345
71	0.1287629472
72	0.1283134512
73	0.1279150591
74	0.1275413896
75	0.1271152421
76	0.1267471418
77	0.1263918063
78	0.1259978228
79	0.1256180658
80	0.1252434497
81	0.1249101646
82	0.124587994
83	0.1242558435
84	0.1239398236
85	0.1236376986
86	0.1232562493
87	0.1229029997
88	0.1225810174
89	0.122267516
90	0.1219528913
91	0.121659399
92	0.1213214813
93	0.1209978647
94	0.1206624951
95	0.1204199468
96	0.1201286637
97	0.1198470525
98	0.119613028
99	0.1193832523
100	0.1191286
101	0.118864616
102	0.1185984811
103	0.1183713063
104	0.1181483496
105	0.1179024623
106	0.1176463133
107	0.1174428348
108	0.1171825031
109	0.1169388382
110	0.1167186353
111	0.1165074875
112	0.1162755101
113	0.1160464903
114	0.1158267181
115	0.1156131449
116	0.1153887094
117	0.1152075574
118	0.1149970005
119	0.1148395998
120	0.1146185168
121	0.1144143153
122	0.1141966616
123	0.1140241029
124	0.1138344826
125	0.1136114726
126	0.1134182981
127	0.1132365108
128	0.1130796675
129	0.112882436
130	0.1126986597
131	0.1125070583
132	0.1123254779
133	0.1121932078
134	0.1120293196
135	0.1118612619
136	0.1116906203
137	0.1115212602
138	0.1113682136
139	0.1112311242
140	0.1110610776
141	0.1109146049
142	0.110757611
143	0.1105994778
144	0.1104740187
145	0.1103262073
146	0.1101726737
147	0.1100453118
148	0.1099078849
149	0.1097421111
150	0.1096087138
151	0.1094729158
152	0.1093186938
153	0.1091763406
154	0.1090277648
155	0.1089075427
156	0.1087817072
157	0.1086786724
158	0.1085603604
159	0.1084469647
160	0.1083467562
161	0.1082418522
162	0.1081261018
163	0.1080135636
164	0.1078819261
165	0.107824676
166	0.1077135321
167	0.1075908105
168	0.1074640702
169	0.1073650009
170	0.1072599186
171	0.1071609986
172	0.1070635897
173	0.1069591394
174	0.1068545202
175	0.1067485678
176	0.1066218178
177	0.106527867
178	0.1064385252
179	0.1063355988
180	0.1062462058
181	0.1061398144
182	0.1060537693
183	0.105954353
184	0.1059046219
185	0.1058175525
186	0.1057359568
187	0.1056264219
188	0.1055279741
189	0.1054304815
190	0.1053519594
191	0.1052661926
192	0.1051662784
193	0.105080377
194	0.105016561
195	0.1049516581
196	0.1048805017
197	0.1048030417
198	0.1047111114
199	0.1046531443
200	0.1045685042
201	0.1045001707
202	0.1044187781
203	0.1043585838
204	0.1042986676
205	0.1042374196
206	0.1041631242
207	0.1040943957
208	0.1040380578
209	0.1039776924
210	0.1039064235
211	0.1038524606
212	0.1037923419
213	0.1037277217
214	0.1036819266
215	0.103611797
216	0.1035598298
217	0.1035086516
218	0.10344581
219	0.103386898
220	0.1033308037
221	0.1032706985
222	0.1032185932
223	0.1031536882
224	0.1030711978
225	0.1030063108
226	0.1029580084
227	0.1029100642
228	0.1028621973
229	0.1027929577
230	0.1027240682
231	0.1026643443
232	0.1026163132
233	0.1025517899
234	0.1024979791
235	0.1024459369
236	0.1023816315
237	0.1023347538
238	0.1022741275
239	0.1022108013
240	0.1021467806
241	0.1020960582
242	0.1020476685
243	0.1020066035
244	0.1019584247
245	0.1019036784
246	0.1018607144
247	0.1018119616
248	0.1017617425
249	0.1017260789
250	0.101689032
251	0.1016561121
252	0.101603611
253	0.1015719439
254	0.1015197432
255	0.1014721114
256	0.1014189951
257	0.1013790056
258	0.1013416299
259	0.1012997126
260	0.1012584384
261	0.1012067645
262	0.1011637508
263	0.1011177032
264	0.1010823628
265	0.1010408877
266	0.1010065974
267	0.1009559756
268	0.1009105788
269	0.1008637151
270	0.1008242543
271	0.100790229
272	0.1007474889
273	0.1007068265
274	0.100687739
275	0.1006503082
276	0.1006050178
277	0.1005598236
278	0.1005163903
279	0.1004705487
280	0.1004218809
281	0.1003837306
282	0.1003411312
283	0.1003030681
284	0.1002649518
285	0.1002194204
286	0.100170013
287	0.1001252403
288	0.1000986746
289	0.1000592832
290	0.1000225999
291	0.0999931738
292	0.09996325512
293	0.09993761134
294	0.09990321783
295	0.09985877597
296	0.09982775914
297	0.09979127321
298	0.0997496932
299	0.09970433352
96704893
297	0.09666880833
298	0.09663955101
299	0.09660418344
5806299	0.09633639273
