iter	Passed	Remaining
0	5	1651
1	8	1337
2	15	1527
3	20	1524
4	25	1489
5	29	1467
6	36	1528
7	41	1510
8	48	1557
9	53	1550
10	59	1571
11	66	1589
12	73	1618
13	78	1598
14	82	1574
15	88	1571
16	94	1571
17	100	157118	106	1573
19	112	1577
20	118	1580
21	149	1890
22	154	1855
23	160	1840
24	163	1799
25	168	1773
26	176	1789
27	182	1770
28	187	1751
29	192	1736
30	196	1705
31	200	1676
32	204	1651
33	210	1650
34	217	1646
35	223	1637
36	231	1645
37	236	1629
38	242	1622
39	246	1604
40	252	1594
41	256	1572
42	259	1549
43	264	1536
44	269	1528
45	275	1519
46	281	1513
47	285	1499
48	289	1480
49	293	1465
50	296	1447
51	301	1437
52	305	1423
53	310	1416
54	314	1401
55	320	1395
56	324	1384
57	330	1377
58	335	1370
59	339	1356
60	342	1343
61	348	1336
62	354	1332
63	359	1324
64	367	1329
65	372	1320666	383	1332
67	391	1336
68	397	1329669	401	1318770	406	1311771	409	1298772	413	1286773	420	1283774	426	1278775	430	1269776	436	1265
77	441	1256
78	447	1250
79	451	1241
80	456	1234
81	461	1225
82	467	1221
83	470	1209
84	475	1202
85	483	1203
86	490	1201
87	494	1191
88	499	1183
89	505	1179
90	509	1169
91	513	1160
92	518	1153
93	523	1147
94	527	1137
95	530	1126
96	534	1117
97	542	1118
98	546	1109
99	551	1103
100	557	1099
101	560	1088
102	564	1080
103	569	1073
104	573	1064
105	578	1059
106	581	1048
107	585	1040
108	591	1036
109	596	1030
110	602	1026
111	606	1018
112	610	1010
113	614	1003
114	620	997
115	624	991
116	630	986
117	634	978
118	638	971
119	642	963
120	648	958
121	654	955
122	661	951
123	665	944
124	670	938
125	676	934
126	681	927
127	686	922
128	691	916
129	695	909
130	700	903
131	706	899
132	712	894
133	718	889
134	723	883
135	728	878
136	733	872
137	738	867
138	743	860
139	748	855
140	752	848
141	757	842
142	764	838
143	767	831
144	773	826
145	778	820
146	783	815
147	787	808
148	792	802
149	797	797
150	801	791
151	806	785
152	812	780
153	817	775
154	821	768
155	826	762
156	829	755
157	836	751
158	839	744
159	845	739
160	849	733
161	854	727
162	859	722
163	864	716
164	869	711
165	870	703
166	874	696
167	878	690
168	883	685
169	888	679
170	894	674
171	900	669
172	905	664
173	909	658
174	916	654
175	920	648
176	924	642
177	936	641
178	940	635
179	944	629
180	948	623
181	955	619
182	960	614
183	963	607
184	967	601
185	971	595
186	975	589
187	978	583
188	982	576
189	987	571
190	993	566
191	998	561
192	1003	556
193	1008	551
194	1014	546
195	1017	540
196	1021	534
197	1026	528
198	1029	522
199	1033	516
200	1035	510
201	1039	504
202	1042	498
203	1046	492
204	1050	486
205	1057	482
206	1061	476
207	1064	470
208	1069	465
209	1073	459
210	1076	454
211	1080	448
212	1084	442
213	1087	437
214	1089	430
215	1094	425
216	1099	420
217	1102	414
218	1106	409
219	1111	404
220	1114	398
221	1117	392
222	1121	387
223	1127	382
224	1131	377
225	1135	371
226	1139	366
227	1144	361
228	1146	355
229	1149	349
230	1155	345
231	1159	339
232	1163	334
233	1167	329
234	1172	324
235	1177	319
236	1181	314
237	1185	308
238	1190	303
239240	1203	2240241	1207	2241242	1213	2242243	1216	2243244	1219	2244245	1223	2245246	1227	2246247	1231	2247	1227	257
248	1232	252
249	1236	247
250251	1247	2251252	1252	2252253	1255	2253254	1262	2254	1258	222
255256	1272	2256	1270	212
257	1275	207
258	1279	202
259	1283	197
260	1289	192
261	1294	187
262	1299	182
263	1305	178
264	1310	173
265	1314	168
266	1321	163
267	1327	158
268	1331	153
269	1335	148
270	1341	143
271	1347	138
272	1352	133
273	1358	128
274	1363	123
275	1370	119
276	1376	114
277	1381	109
278	1387	104
279	1393	99
280	1397	94
281	1402	89
282	1407	84
283	1412	79
284	1416	74
285	1422	69
286	1426	64
287	1431	59
288	1434	54
289	1440	49
290	1448	44
291	1454	39
292	1458	34
293	1462	29
294	1467	24
295	1471	19
296	1474	14
297	1478	9
298	1481	4
299	1483	0
