feature,GB,RF,ET,Permutation,SHAP,Pearson,Ensemble_Score,rank
critical_dimension,0.9999999998432076,0.9999999998245723,0.1436730100600722,0.9999999998613474,0.9999999991792842,0.9259668501273547,0.8449399764826397,1
is_advanced_node,0.1275747197996097,0.0,0.9999999997853252,0.005866306837525838,0.0001661962796694676,0.9999999998579154,0.3556012037600076,2
vth,0.1952779306765332,0.1585789434712242,0.13432655275255134,0.2054778655273961,0.12367808355851545,0.7676905194491703,0.26417164923923175,3
oxide_thickness,0.027706760483614527,0.049086533010940875,0.04297019238165136,0.021785405560777984,0.5404086917715851,0.7193647363640172,0.2335537199287645,4
Swing,0.00413567772484609,0.023239214696546637,0.03557977713466651,0.0024346929909491457,0.005912285142088463,0.5985112184279032,0.11163547768616668,5
node_x_cd,0.015429987545877754,0.01630584205893423,0.00664887198055534,0.006593523502163265,0.0023442222220040653,0.5049446033143604,0.09204450843731583,6
defect_composite,0.06648058615003326,0.052837780685449164,0.059619544806335224,0.05029702362706665,0.13848560518410438,0.170839964335873,0.08976008413147694,7
thickness_uniformity,0.04071572524122511,0.059194012979183225,0.06401575053150145,0.020398334699849353,0.13105862329513798,0.17296761078396625,0.08139167625514389,8
defect_count,0.027578287750571834,0.046419631968924145,0.052002405863673336,0.006952800448953439,0.09701424421392259,0.17302959916685012,0.06716616156881591,9
resistance,0.006900372640229089,0.023368322676230846,0.024400978022251146,0.00540281767397853,0.027279330838953574,0.2863067778970422,0.06227643329144756,10
tech_encoded,0.0009005438036492785,0.0010031748016600028,0.0,0.00042544868481359443,0.0006294232212323963,0.24901902119107563,0.041996268617071814,11
dose,0.012126293869927083,0.033211248516379355,0.03041953910840436,0.00854610562391159,0.018186042855992127,0.0798414218565158,0.030388441971855053,12
focus_offset,0.0023837375176954285,0.02423022481517896,0.02351833850384361,0.0014419184909261861,0.0012229464319711539,0.10163932444553361,0.025739415034191495,13
IR_Drop,0.0020114647255246748,0.014355934578804052,0.021849024507679768,0.0014638717453899464,0.0004565900631521964,0.08827655215250987,0.021402239628843422,14
implant_energy,0.0006992632235215833,0.02821394721986939,0.02526763340031347,0.0004191313213801576,0.022012942593919154,0.033615758944152495,0.01837144611719271,15
leakage_current,6.18715433058906e-05,0.013416701819072238,0.02318984961755456,0.00020161694154353991,0.0009134305382248537,0.06495399856812496,0.017122911504637673,16
pressure,0.006473002230237311,0.033790389808866894,0.03013501677936085,0.005588438750828103,0.018917290986025057,0.003507750301578882,0.016401981476149515,17
temperature,0.00019223029469245676,0.028233789637164233,0.02544774250456255,0.00019609636979853697,0.023914330413865963,0.0057336117005461675,0.013952966820104983,18
resistivity,7.218800318629887e-05,0.025400163358710887,0.02730245813576233,1.227471937939671e-05,0.005739570393739384,0.023709524812849055,0.013706029903937891,19
deposition_rate,0.0,0.025510087476497995,0.025780782527855806,2.678927129562293e-05,0.008705593284354713,0.02015012023890562,0.013362228799818292,20
exposure_time,0.004867381790370694,0.029015069349216976,0.024405049688961983,0.004043531149189608,0.0172787827685555,0.0,0.013268302457715793,21
tilt_angle,0.0027187028756594806,0.029720097030102744,0.029628977732897955,0.0019756324576757664,0.0037369813454190153,0.0037737255854305273,0.011925686171197582,22
etch_rate,0.00367394274007838,0.027361157802961108,0.025281597486915733,0.0021335467312981627,0.005149941290622625,0.007572341478786002,0.011862087921777002,23
